traceIndex,rxPower,beginTrace(s),endTrace(s)
0,-51.735048006237946,0.0,1.3333333333333333
1,-51.640408745460235,1.3333333333333333,2.6666666666666665
2,-51.54477131534577,2.6666666666666665,4.0
3,-51.448038097403966,4.0,5.333333333333333
4,-51.35018485540894,5.333333333333333,6.666666666666666
5,-51.25123047325749,6.666666666666666,8.0
6,-51.15123865114214,8.0,9.333333333333332
7,-50.09111342878002,9.333333333333332,10.666666666666666
8,-50.09069680826386,10.666666666666666,12.0
9,-49.98727601830436,12.0,13.333333333333332
10,-49.88259994201505,13.333333333333332,14.666666666666666
11,-49.77671236967288,14.666666666666666,16.0
12,-49.66964757543391,16.0,17.333333333333332
13,-49.56133677461395,17.333333333333332,18.666666666666664
14,-49.45165360569459,18.666666666666664,20.0
15,-49.3405638883213,20.0,21.333333333333332
16,-49.228131528272854,21.333333333333332,22.666666666666664
17,-49.170535003685416,22.666666666666664,24.0
18,-48.2951023400385,24.0,25.333333333333332
19,-48.178347173320205,25.333333333333332,26.666666666666664
20,-48.060071004614116,26.666666666666664,28.0
21,-47.931018872579756,28.0,29.333333333333332
22,-47.84216758496359,29.333333333333332,30.666666666666664
23,-47.68109904306783,30.666666666666664,32.0
24,-47.64342834719672,32.0,33.33333333333333
25,-47.51194126231951,33.33333333333333,34.666666666666664
26,-46.77978431760957,34.666666666666664,36.0
27,-46.67394291825738,36.0,37.33333333333333
28,-46.53569462916401,37.33333333333333,38.666666666666664
29,-46.38313242233821,38.666666666666664,40.0
30,-46.374039627486184,40.0,41.33333333333333
31,-46.23267307513571,41.33333333333333,42.666666666666664
32,-46.09536112604067,42.666666666666664,44.0
33,-45.43474880340912,44.0,45.33333333333333
34,-45.29410229651339,45.33333333333333,46.666666666666664
35,-45.26674361775669,46.666666666666664,48.0
36,-45.118057475411774,48.0,49.33333333333333
37,-44.96748533609916,49.33333333333333,50.666666666666664
38,-44.462229583732395,50.666666666666664,52.0
39,-44.30633775477841,52.0,53.33333333333333
40,-44.24892027270562,53.33333333333333,54.666666666666664
41,-44.086492349723585,54.666666666666664,56.0
42,-43.92050745671537,56.0,57.33333333333333
43,-43.6169582541399,57.33333333333333,58.666666666666664
44,-43.446363866876936,58.666666666666664,60.0
45,-43.27457776863065,60.0,61.33333333333333
46,-43.09771698025375,61.33333333333333,62.666666666666664
47,-42.90505914541663,62.666666666666664,64.0
48,-42.722578141818644,64.0,65.33333333333333
49,-42.534850314853756,65.33333333333333,66.66666666666666
50,-42.534850314853756,66.66666666666666,68.0
51,-42.75059135640569,68.0,69.33333333333333
52,-42.97945168479016,69.33333333333333,70.66666666666666
53,-43.638105579789766,70.66666666666666,72.0
54,-43.48182318920658,72.0,73.33333333333333
55,-43.48623700566067,73.33333333333333,74.66666666666666
56,-43.66733513680077,74.66666666666666,76.0
57,-44.30585515868168,76.0,77.33333333333333
58,-44.780932692848396,77.33333333333333,78.66666666666666
59,-45.31035426199922,78.66666666666666,80.0
60,-44.21909824768571,80.0,81.33333333333333
61,-43.25129001371907,81.33333333333333,82.66666666666666
62,-41.918431886926186,82.66666666666666,84.0
63,-41.45482938588309,84.0,85.33333333333333
64,-41.13830827054218,85.33333333333333,86.66666666666666
65,-40.925820098580814,86.66666666666666,88.0
66,-40.9607316655251,88.0,89.33333333333333
67,-41.1513456984119,89.33333333333333,90.66666666666666
68,-42.003099120463844,90.66666666666666,92.0
69,-42.60993440888734,92.0,93.33333333333333
70,-43.39681188780588,93.33333333333333,94.66666666666666
71,-45.470424578175255,94.66666666666666,96.0
72,-45.60444016480052,96.0,97.33333333333333
73,-44.95943847803076,97.33333333333333,98.66666666666666
74,-44.08929244753756,98.66666666666666,100.0
75,-44.019766136661815,100.0,101.33333333333333
76,-43.930553764615496,101.33333333333333,102.66666666666666
77,-43.74025116973455,102.66666666666666,104.0
78,-42.87545487166241,104.0,105.33333333333333
79,-43.212085075093455,105.33333333333333,106.66666666666666
80,-42.97470980196705,106.66666666666666,108.0
81,-42.79371773209233,108.0,109.33333333333333
82,-42.92979257220236,109.33333333333333,110.66666666666666
83,-42.99187747130304,110.66666666666666,112.0
84,-43.18689243117784,112.0,113.33333333333333
85,-44.06350470286338,113.33333333333333,114.66666666666666
86,-44.75489659112813,114.66666666666666,116.0
87,-44.931108762918214,116.0,117.33333333333333
88,-44.84638752081395,117.33333333333333,118.66666666666666
89,-44.92511910075777,118.66666666666666,120.0
90,-45.559697595941785,120.0,121.33333333333333
91,-45.880260501493396,121.33333333333333,122.66666666666666
92,-46.11456675466047,122.66666666666666,124.0
93,-46.41000223020515,124.0,125.33333333333333
94,-46.933779318601864,125.33333333333333,126.66666666666666
95,-46.33365638749784,126.66666666666666,128.0
96,-45.67734598969763,128.0,129.33333333333331
97,-45.07929307540772,129.33333333333331,130.66666666666666
98,-44.79433737097597,130.66666666666666,132.0
99,-44.89319970092532,132.0,133.33333333333331
100,-44.89319970092532,133.33333333333331,134.66666666666666
101,-44.4718648388247,134.66666666666666,136.0
102,-44.382047434963795,136.0,137.33333333333331
103,-44.19334108254222,137.33333333333331,138.66666666666666
104,-44.09942804996612,138.66666666666666,140.0
105,-43.86170924477403,140.0,141.33333333333331
106,-43.7696764054178,141.33333333333331,142.66666666666666
107,-43.60069522140647,142.66666666666666,144.0
108,-43.50864264367195,144.0,145.33333333333331
109,-43.41389120749503,145.33333333333331,146.66666666666666
110,-43.46538860544004,146.66666666666666,148.0
111,-43.18171251441984,148.0,149.33333333333331
112,-43.29271577795657,149.33333333333331,150.66666666666666
113,-43.506932819757125,150.66666666666666,152.0
114,-43.26381508805744,152.0,153.33333333333331
115,-43.057076701180506,153.33333333333331,154.66666666666666
116,-43.82916480442543,154.66666666666666,156.0
117,-43.478556684666486,156.0,157.33333333333331
118,-43.956715010090946,157.33333333333331,158.66666666666666
119,-44.21550443251597,158.66666666666666,160.0
120,-44.27058687777145,160.0,161.33333333333331
121,-44.181429567918215,161.33333333333331,162.66666666666666
122,-44.065430231057775,162.66666666666666,164.0
123,-44.23537950842399,164.0,165.33333333333331
124,-44.42968078550548,165.33333333333331,166.66666666666666
125,-44.237092381344,166.66666666666666,168.0
126,-44.14940376271694,168.0,169.33333333333331
127,-43.67120632334901,169.33333333333331,170.66666666666666
128,-43.48127346621911,170.66666666666666,172.0
129,-43.116387819447255,172.0,173.33333333333331
130,-42.743115388480405,173.33333333333331,174.66666666666666
131,-42.4714150035893,174.66666666666666,176.0
132,-42.192113077314076,176.0,177.33333333333331
133,-42.175569183068035,177.33333333333331,178.66666666666666
134,-41.987677623279694,178.66666666666666,180.0
135,-41.80614044569785,180.0,181.33333333333331
136,-41.68520841740806,181.33333333333331,182.66666666666666
137,-41.57844478179163,182.66666666666666,184.0
138,-41.49514800144517,184.0,185.33333333333331
139,-41.43657193796682,185.33333333333331,186.66666666666666
140,-41.51549251000583,186.66666666666666,188.0
141,-41.46424499669426,188.0,189.33333333333331
142,-41.48949260747334,189.33333333333331,190.66666666666666
143,-41.49776254483446,190.66666666666666,192.0
144,-41.466549294942965,192.0,193.33333333333331
145,-41.55868735468049,193.33333333333331,194.66666666666666
146,-41.587763764519934,194.66666666666666,196.0
147,-41.70198050959074,196.0,197.33333333333331
148,-41.73401718108866,197.33333333333331,198.66666666666666
149,-43.287562409886704,198.66666666666666,200.0
