traceIndex,rxPower,beginTrace(s),endTrace(s)
0,-51.73503904410319,0.0,1.3333333333333333
1,-52.7310760772245,1.3333333333333333,2.6666666666666665
2,-53.106105401099086,2.6666666666666665,4.0
3,-52.7574136997811,4.0,5.333333333333333
4,-50.40605732036852,5.333333333333333,6.666666666666666
5,-48.87072407875257,6.666666666666666,8.0
6,-48.286743205280445,8.0,9.333333333333332
7,-47.654518404500976,9.333333333333332,10.666666666666666
8,-47.61492939970263,10.666666666666666,12.0
9,-48.056995209503896,12.0,13.333333333333332
10,-48.43172591306957,13.333333333333332,14.666666666666666
11,-49.776589585820915,14.666666666666666,16.0
12,-51.93288916699129,16.0,17.333333333333332
13,-51.71046462212357,17.333333333333332,18.666666666666664
14,-51.144593669306445,18.666666666666664,20.0
15,-50.21453762514594,20.0,21.333333333333332
16,-48.369420726798495,21.333333333333332,22.666666666666664
17,-47.28657107706486,22.666666666666664,24.0
18,-46.84491122361432,24.0,25.333333333333332
19,-46.40188314194009,25.333333333333332,26.666666666666664
20,-46.448156221636594,26.666666666666664,28.0
21,-46.96088275526519,28.0,29.333333333333332
22,-47.32954217158296,29.333333333333332,30.666666666666664
23,-48.60376578227303,30.666666666666664,32.0
24,-48.75005441836876,32.0,33.33333333333333
25,-48.95913471126585,33.33333333333333,34.666666666666664
26,-49.301503963892486,34.666666666666664,36.0
27,-47.56403326313092,36.0,37.33333333333333
28,-46.349174666379696,37.33333333333333,38.666666666666664
29,-45.83581216381097,38.666666666666664,40.0
30,-45.32252815671403,40.0,41.33333333333333
31,-45.02347512692032,41.33333333333333,42.666666666666664
32,-44.91240830105846,42.666666666666664,44.0
33,-45.05718821629068,44.0,45.33333333333333
34,-45.42710168667699,45.33333333333333,46.666666666666664
35,-45.653416259937,46.666666666666664,48.0
36,-46.41236635964435,48.0,49.33333333333333
37,-47.037200341040716,49.33333333333333,50.666666666666664
38,-46.354501186914845,50.666666666666664,52.0
39,-45.29025722795768,52.0,53.33333333333333
40,-44.99157859324362,53.33333333333333,54.666666666666664
41,-44.29826289722193,54.666666666666664,56.0
42,-43.78343078564879,56.0,57.33333333333333
43,-43.64660021989462,57.33333333333333,58.666666666666664
44,-43.31452419645343,58.666666666666664,60.0
45,-43.111295696037686,60.0,61.33333333333333
46,-42.96735955145127,61.33333333333333,62.666666666666664
47,-42.945245118710034,62.666666666666664,64.0
48,-42.84260872983394,64.0,65.33333333333333
49,-42.80538382850865,65.33333333333333,66.66666666666666
50,-42.80538382850865,66.66666666666666,68.0
51,-42.719295133732004,68.0,69.33333333333333
52,-42.5786937646909,69.33333333333333,70.66666666666666
53,-42.53550574265101,70.66666666666666,72.0
54,-42.46116120654675,72.0,73.33333333333333
55,-42.42109501171812,73.33333333333333,74.66666666666666
56,-41.12554065468481,74.66666666666666,76.0
