traceIndex,sector,beginTrace(s),endTrace(s)
0,0,0.0,1.0
1,0,1.0,2.0
2,0,2.0,3.0
3,0,3.0,4.0
4,0,4.0,5.0
5,0,5.0,6.0
6,0,6.0,7.0
7,0,7.0,8.0
8,0,8.0,9.0
9,0,9.0,10.0
10,0,10.0,11.0
11,0,11.0,12.0
12,0,12.0,13.0
13,0,13.0,14.0
14,0,14.0,15.0
15,0,15.0,16.0
16,0,16.0,17.0
17,0,17.0,18.0
18,0,18.0,19.0
19,0,19.0,20.0
20,0,20.0,21.0
21,0,21.0,22.0
22,0,22.0,23.0
23,0,23.0,24.0
24,0,24.0,25.0
25,0,25.0,26.0
26,0,26.0,27.0
27,0,27.0,28.0
28,0,28.0,29.0
29,0,29.0,30.0
30,0,30.0,31.0
31,0,31.0,32.0
32,0,32.0,33.0
33,0,33.0,34.0
34,0,34.0,35.0
35,0,35.0,36.0
36,0,36.0,37.0
37,0,37.0,38.0
38,0,38.0,39.0
39,0,39.0,40.0
40,0,40.0,41.0
41,0,41.0,42.0
42,0,42.0,43.0
43,0,43.0,44.0
44,0,44.0,45.0
45,0,45.0,46.0
46,0,46.0,47.0
47,0,47.0,48.0
48,0,48.0,49.0
49,0,49.0,50.0
50,0,50.0,51.0
51,0,51.0,52.0
52,0,52.0,53.0
53,0,53.0,54.0
54,0,54.0,55.0
55,0,55.0,56.0
56,0,56.0,57.0
57,0,57.0,58.0
58,0,58.0,59.0
59,0,59.0,60.0
60,0,60.0,61.0
61,0,61.0,62.0
62,19,62.0,63.0
63,19,63.0,64.0
64,19,64.0,65.0
65,19,65.0,66.0
66,19,66.0,67.0
67,19,67.0,68.0
68,19,68.0,69.0
69,19,69.0,70.0
70,19,70.0,71.0
71,19,71.0,72.0
72,19,72.0,73.0
73,19,73.0,74.0
74,19,74.0,75.0
75,19,75.0,76.0
76,20,76.0,77.0
77,20,77.0,78.0
78,20,78.0,79.0
79,20,79.0,80.0
80,20,80.0,81.0
81,20,81.0,82.0
82,20,82.0,83.0
83,20,83.0,84.0
84,20,84.0,85.0
85,20,85.0,86.0
86,20,86.0,87.0
87,20,87.0,88.0
88,20,88.0,89.0
89,20,89.0,90.0
90,20,90.0,91.0
91,21,91.0,92.0
92,21,92.0,93.0
93,21,93.0,94.0
94,21,94.0,95.0
95,21,95.0,96.0
96,21,96.0,97.0
97,21,97.0,98.0
98,21,98.0,99.0
99,21,99.0,100.0
100,21,100.0,101.0
101,21,101.0,102.0
102,21,102.0,103.0
103,21,103.0,104.0
104,21,104.0,105.0
105,21,105.0,106.0
106,21,106.0,107.0
107,21,107.0,108.0
108,21,108.0,109.0
109,22,109.0,110.0
110,22,110.0,111.0
111,22,111.0,112.0
112,22,112.0,113.0
113,22,113.0,114.0
114,22,114.0,115.0
115,22,115.0,116.0
116,22,116.0,117.0
117,22,117.0,118.0
118,22,118.0,119.0
119,22,119.0,120.0
120,22,120.0,121.0
121,22,121.0,122.0
122,22,122.0,123.0
123,22,123.0,124.0
124,22,124.0,125.0
125,22,125.0,126.0
126,22,126.0,127.0
127,22,127.0,128.0
128,22,128.0,129.0
129,22,129.0,130.0
130,23,130.0,131.0
131,23,131.0,132.0
132,22,132.0,133.0
133,23,133.0,134.0
134,21,134.0,135.0
135,21,135.0,136.0
136,21,136.0,137.0
137,21,137.0,138.0
138,22,138.0,139.0
139,22,139.0,140.0
140,22,140.0,141.0
141,22,141.0,142.0
142,22,142.0,143.0
143,22,143.0,144.0
144,22,144.0,145.0
145,22,145.0,146.0
146,22,146.0,147.0
147,22,147.0,148.0
148,22,148.0,149.0
149,22,149.0,150.0
150,22,150.0,151.0
151,22,151.0,152.0
152,22,152.0,153.0
153,22,153.0,154.0
154,22,154.0,155.0
155,22,155.0,156.0
156,22,156.0,157.0
157,22,157.0,158.0
158,22,158.0,159.0
159,22,159.0,160.0
160,22,160.0,161.0
161,22,161.0,162.0
162,22,162.0,163.0
163,22,163.0,164.0
164,22,164.0,165.0
165,22,165.0,166.0
166,22,166.0,167.0
167,22,167.0,168.0
168,22,168.0,169.0
169,22,169.0,170.0
170,-1,170.0,171.0
171,-1,171.0,172.0
172,-1,172.0,173.0
173,-1,173.0,174.0
174,-1,174.0,175.0
175,-1,175.0,176.0
176,-1,176.0,177.0
177,-1,177.0,178.0
178,-1,178.0,179.0
179,-1,179.0,180.0
180,-1,180.0,181.0
181,-1,181.0,182.0
182,-1,182.0,183.0
183,-1,183.0,184.0
184,-1,184.0,185.0
185,-1,185.0,186.0
186,-1,186.0,187.0
187,-1,187.0,188.0
188,-1,188.0,189.0
189,-1,189.0,190.0
190,-1,190.0,191.0
191,-1,191.0,192.0
192,-1,192.0,193.0
193,-1,193.0,194.0
194,-1,194.0,195.0
195,-1,195.0,196.0
196,-1,196.0,197.0
197,-1,197.0,198.0
198,-1,198.0,199.0
199,-1,199.0,200.0
