traceIndex,sector,beginTrace(s),endTrace(s)
0,19,0.0,1.3333333333333333
1,1,1.3333333333333333,2.6666666666666665
2,1,2.6666666666666665,4.0
3,18,4.0,5.333333333333333
4,18,5.333333333333333,6.666666666666666
5,18,6.666666666666666,8.0
6,18,8.0,9.333333333333332
7,18,9.333333333333332,10.666666666666666
8,18,10.666666666666666,12.0
9,18,12.0,13.333333333333332
10,18,13.333333333333332,14.666666666666666
11,18,14.666666666666666,16.0
12,18,16.0,17.333333333333332
13,10,17.333333333333332,18.666666666666664
14,10,18.666666666666664,20.0
15,28,20.0,21.333333333333332
16,28,21.333333333333332,22.666666666666664
17,28,22.666666666666664,24.0
18,28,24.0,25.333333333333332
19,28,25.333333333333332,26.666666666666664
20,28,26.666666666666664,28.0
21,28,28.0,29.333333333333332
22,28,29.333333333333332,30.666666666666664
23,28,30.666666666666664,32.0
24,11,32.0,33.33333333333333
25,11,33.33333333333333,34.666666666666664
26,29,34.666666666666664,36.0
27,29,36.0,37.33333333333333
28,29,37.33333333333333,38.666666666666664
29,29,38.666666666666664,40.0
30,29,40.0,41.33333333333333
31,29,41.33333333333333,42.666666666666664
32,29,42.666666666666664,44.0
33,29,44.0,45.33333333333333
34,29,45.33333333333333,46.666666666666664
35,29,46.666666666666664,48.0
36,29,48.0,49.33333333333333
37,30,49.33333333333333,50.666666666666664
38,30,50.666666666666664,52.0
39,30,52.0,53.33333333333333
40,30,53.33333333333333,54.666666666666664
41,30,54.666666666666664,56.0
42,30,56.0,57.33333333333333
43,30,57.33333333333333,58.666666666666664
44,30,58.666666666666664,60.0
45,30,60.0,61.33333333333333
46,30,61.33333333333333,62.666666666666664
47,30,62.666666666666664,64.0
48,30,64.0,65.33333333333333
49,30,65.33333333333333,66.66666666666666
50,30,66.66666666666666,68.0
51,30,68.0,69.33333333333333
52,30,69.33333333333333,70.66666666666666
53,30,70.66666666666666,72.0
54,30,72.0,73.33333333333333
55,30,73.33333333333333,74.66666666666666
56,30,74.66666666666666,76.0
57,30,76.0,77.33333333333333
58,30,77.33333333333333,78.66666666666666
59,30,78.66666666666666,80.0
60,30,80.0,81.33333333333333
61,30,81.33333333333333,82.66666666666666
62,30,82.66666666666666,84.0
63,30,84.0,85.33333333333333
64,30,85.33333333333333,86.66666666666666
65,30,86.66666666666666,88.0
66,30,88.0,89.33333333333333
67,30,89.33333333333333,90.66666666666666
68,30,90.66666666666666,92.0
69,30,92.0,93.33333333333333
70,30,93.33333333333333,94.66666666666666
71,30,94.66666666666666,96.0
72,30,96.0,97.33333333333333
73,30,97.33333333333333,98.66666666666666
74,30,98.66666666666666,100.0
75,30,100.0,101.33333333333333
76,30,101.33333333333333,102.66666666666666
77,30,102.66666666666666,104.0
78,30,104.0,105.33333333333333
79,30,105.33333333333333,106.66666666666666
80,30,106.66666666666666,108.0
81,30,108.0,109.33333333333333
82,13,109.33333333333333,110.66666666666666
83,13,110.66666666666666,112.0
84,13,112.0,113.33333333333333
85,13,113.33333333333333,114.66666666666666
86,29,114.66666666666666,116.0
87,29,116.0,117.33333333333333
88,29,117.33333333333333,118.66666666666666
89,29,118.66666666666666,120.0
90,29,120.0,121.33333333333333
91,29,121.33333333333333,122.66666666666666
92,29,122.66666666666666,124.0
93,29,124.0,125.33333333333333
94,29,125.33333333333333,126.66666666666666
95,29,126.66666666666666,128.0
96,29,128.0,129.33333333333331
97,29,129.33333333333331,130.66666666666666
98,29,130.66666666666666,132.0
99,29,132.0,133.33333333333331
100,29,133.33333333333331,134.66666666666666
101,29,134.66666666666666,136.0
102,29,136.0,137.33333333333331
103,29,137.33333333333331,138.66666666666666
104,11,138.66666666666666,140.0
105,11,140.0,141.33333333333331
106,11,141.33333333333331,142.66666666666666
107,11,142.66666666666666,144.0
108,11,144.0,145.33333333333331
109,28,145.33333333333331,146.66666666666666
110,28,146.66666666666666,148.0
111,28,148.0,149.33333333333331
112,28,149.33333333333331,150.66666666666666
113,28,150.66666666666666,152.0
114,28,152.0,153.33333333333331
115,28,153.33333333333331,154.66666666666666
116,28,154.66666666666666,156.0
117,28,156.0,157.33333333333331
118,10,157.33333333333331,158.66666666666666
119,10,158.66666666666666,160.0
120,10,160.0,161.33333333333331
121,10,161.33333333333331,162.66666666666666
122,10,162.66666666666666,164.0
123,10,164.0,165.33333333333331
124,10,165.33333333333331,166.66666666666666
125,10,166.66666666666666,168.0
126,18,168.0,169.33333333333331
127,18,169.33333333333331,170.66666666666666
128,18,170.66666666666666,172.0
129,18,172.0,173.33333333333331
130,18,173.33333333333331,174.66666666666666
131,18,174.66666666666666,176.0
132,18,176.0,177.33333333333331
133,18,177.33333333333331,178.66666666666666
134,18,178.66666666666666,180.0
135,18,180.0,181.33333333333331
136,18,181.33333333333331,182.66666666666666
137,18,182.66666666666666,184.0
138,18,184.0,185.33333333333331
139,18,185.33333333333331,186.66666666666666
140,18,186.66666666666666,188.0
141,18,188.0,189.33333333333331
142,18,189.33333333333331,190.66666666666666
143,18,190.66666666666666,192.0
144,1,192.0,193.33333333333331
145,1,193.33333333333331,194.66666666666666
146,1,194.66666666666666,196.0
147,1,196.0,197.33333333333331
148,1,197.33333333333331,198.66666666666666
149,1,198.66666666666666,200.0
