traceIndex,rxPower,beginTrace(s),endTrace(s)
0,-48.470868170183564,0.0,1.0
1,-48.351650448413096,1.0,2.0
2,-47.932115926239916,2.0,3.0
3,-47.855997330080356,3.0,4.0
4,-48.102906810960576,4.0,5.0
5,-48.086543560439495,5.0,6.0
6,-47.9512256634367,6.0,7.0
7,-47.94570658538254,7.0,8.0
8,-47.953074545435825,8.0,9.0
9,-47.898922336394904,9.0,10.0
10,-47.81128359182367,10.0,11.0
11,-47.789799211754186,11.0,12.0
12,-47.828591465401416,12.0,13.0
13,-47.990865355989,13.0,14.0
14,-48.04769166290659,14.0,15.0
15,-48.14405833187814,15.0,16.0
16,-48.32807779644533,16.0,17.0
17,-48.25116368190233,17.0,18.0
18,-48.30018951421336,18.0,19.0
19,-48.56422560678402,19.0,20.0
20,-48.44142624632252,20.0,21.0
21,-48.79476892617615,21.0,22.0
22,-48.54945873528085,22.0,23.0
23,-49.06332684371415,23.0,24.0
24,-48.76122303996357,24.0,25.0
25,-49.168008336321265,25.0,26.0
26,-49.16585003274716,26.0,27.0
27,-49.11687941201666,27.0,28.0
28,-49.56239701111649,28.0,29.0
29,-49.44512555265875,29.0,30.0
30,-49.39730773011989,30.0,31.0
31,-49.72779670570888,31.0,32.0
32,-49.91763188704431,32.0,33.0
33,-49.66342427848373,33.0,34.0
34,-49.84271517322196,34.0,35.0
35,-50.429144656664405,35.0,36.0
36,-50.14749545551584,36.0,37.0
37,-49.98717169488104,37.0,38.0
38,-50.44706473228945,38.0,39.0
39,-50.85789720551816,39.0,40.0
40,-50.53632679655783,40.0,41.0
41,-50.16288808309811,41.0,42.0
42,-50.63492679718402,42.0,43.0
43,-51.33463831816998,43.0,44.0
44,-51.2467769463363,44.0,45.0
45,-50.71897241815873,45.0,46.0
46,-50.67530671496115,46.0,47.0
47,-51.548248146666,47.0,48.0
48,-51.92231753663812,48.0,49.0
49,-51.95825503528235,49.0,50.0
50,-50.908328342993485,50.0,51.0
51,-50.972759742953,51.0,52.0
52,-51.65082505565401,52.0,53.0
53,-52.282710302644034,53.0,54.0
54,-52.48515341393383,54.0,55.0
55,-52.06760533611842,55.0,56.0
56,-51.7369376448481,56.0,57.0
57,-52.4933714217394,57.0,58.0
58,-52.021103693116316,58.0,59.0
59,-52.68363092120738,59.0,60.0
60,-52.82218185430017,60.0,61.0
61,-53.58047364972958,61.0,62.0
62,-53.57989671248346,62.0,63.0
63,-53.112650893451985,63.0,64.0
64,-52.66978194145145,64.0,65.0
65,-52.246921796713295,65.0,66.0
66,-52.141181404977374,66.0,67.0
67,-52.3304695678699,67.0,68.0
68,-51.787359076079554,68.0,69.0
69,-52.032861692918075,69.0,70.0
70,-52.23568798679162,70.0,71.0
71,-52.03942999153598,71.0,72.0
72,-52.596997214606546,72.0,73.0
73,-52.66269897831501,73.0,74.0
74,-53.07375460577539,74.0,75.0
75,-53.58557147515795,75.0,76.0
76,-53.49117081483128,76.0,77.0
77,-53.47381057804613,77.0,78.0
78,-53.0823107621498,78.0,79.0
79,-52.76646223227172,79.0,80.0
80,-52.76494121117986,80.0,81.0
81,-52.61342977918747,81.0,82.0
82,-52.58411712424814,82.0,83.0
83,-52.47530425161156,83.0,84.0
84,-52.552060942889796,84.0,85.0
85,-52.64884050152844,85.0,86.0
86,-52.501418443064196,86.0,87.0
87,-52.71783355914012,87.0,88.0
88,-53.15922068804112,88.0,89.0
89,-53.35418257171271,89.0,90.0
90,-53.88215902696531,90.0,91.0
91,-53.88866246961307,91.0,92.0
92,-53.90216453047684,92.0,93.0
93,-53.58051035772847,93.0,94.0
94,-53.759724328843035,94.0,95.0
95,-53.36444329692671,95.0,96.0
96,-53.156642005937286,96.0,97.0
97,-52.99721747237889,97.0,98.0
98,-53.05350784277174,98.0,99.0
99,-53.025913690338626,99.0,100.0
100,-53.074532141532075,100.0,101.0
101,-53.06049222109864,101.0,102.0
102,-53.2800389508546,102.0,103.0
103,-53.417660668155804,103.0,104.0
104,-53.742111761978464,104.0,105.0
105,-53.92709578498744,105.0,106.0
106,-53.92309376611031,106.0,107.0
107,-54.29475205843437,107.0,108.0
108,-54.29583712357834,108.0,109.0
109,-54.6337978176787,109.0,110.0
110,-54.736447808210386,110.0,111.0
111,-54.23536332776905,111.0,112.0
112,-54.13475973612165,112.0,113.0
113,-53.91664229440748,113.0,114.0
114,-54.016859061422,114.0,115.0
115,-53.98987554667141,115.0,116.0
116,-54.093482328352295,116.0,117.0
117,-54.07505109381775,117.0,118.0
118,-54.1539714470897,118.0,119.0
119,-54.23624977999596,119.0,120.0
120,-54.190826642452095,120.0,121.0
121,-54.096253431547325,121.0,122.0
122,-53.97021520070609,122.0,123.0
123,-53.95160392735616,123.0,124.0
124,-54.30726755208184,124.0,125.0
125,-54.612540294173485,125.0,126.0
126,-54.572194672142984,126.0,127.0
127,-54.78730123082072,127.0,128.0
128,-55.01347386365464,128.0,129.0
129,-55.30423776058605,129.0,130.0
130,-70.41987660943518,130.0,131.0
131,-70.47704143026041,131.0,132.0
132,-70.33637266126323,132.0,133.0
133,-70.46126026359624,133.0,134.0
134,-72.7189380070245,134.0,135.0
135,-73.18544481397764,135.0,136.0
136,-73.22035781397766,136.0,137.0
137,-73.25541481397767,137.0,138.0
138,-72.9909268304049,138.0,139.0
139,-73.0262668304049,139.0,140.0
140,-73.06174283040485,140.0,141.0
141,-72.77228812715416,141.0,142.0
142,-72.80801712715413,142.0,143.0
143,-72.8438521271542,143.0,144.0
144,-72.62284283111768,144.0,145.0
145,-72.65889983111761,145.0,146.0
146,-72.69505483111764,146.0,147.0
147,-72.58977028150001,147.0,148.0
148,-72.6261172815,148.0,149.0
149,-72.6625552815,149.0,150.0
150,-72.62726608754328,150.0,151.0
