traceIndex,rxPower,beginTrace(s),endTrace(s)
151,-72.66385708754329,151.0,152.0
152,-72.70051608754328,152.0,153.0
153,-72.73725108754327,153.0,154.0
154,-72.78084165776299,154.0,155.0
155,-72.81769865776297,155.0,156.0
156,-72.854609657763,156.0,157.0
157,-72.96559962884527,157.0,158.0
158,-73.00260962884528,158.0,159.0
159,-73.03966562884526,159.0,160.0
160,-73.07676062884525,160.0,161.0
161,-73.27941560237974,161.0,162.0
162,-73.31657860237975,162.0,163.0
163,-73.3537716023798,163.0,164.0
164,-73.38505673468674,164.0,165.0
165,-73.65163186147059,165.0,166.0
166,-73.68888586147057,166.0,167.0
167,-73.72616286147058,167.0,168.0
168,-73.76345586147056,168.0,169.0
169,-74.12532509411655,169.0,170.0
170,-inf,170.0,171.0
171,-inf,171.0,172.0
172,-inf,172.0,173.0
173,-inf,173.0,174.0
174,-inf,174.0,175.0
175,-inf,175.0,176.0
176,-inf,176.0,177.0
177,-inf,177.0,178.0
178,-inf,178.0,179.0
179,-inf,179.0,180.0
180,-inf,180.0,181.0
181,-inf,181.0,182.0
182,-inf,182.0,183.0
183,-inf,183.0,184.0
184,-inf,184.0,185.0
185,-inf,185.0,186.0
186,-inf,186.0,187.0
187,-inf,187.0,188.0
188,-inf,188.0,189.0
189,-inf,189.0,190.0
190,-inf,190.0,191.0
191,-inf,191.0,192.0
192,-inf,192.0,193.0
193,-inf,193.0,194.0
194,-inf,194.0,195.0
195,-inf,195.0,196.0
196,-inf,196.0,197.0
197,-inf,197.0,198.0
198,-inf,198.0,199.0
199,-inf,199.0,200.0
